4.845629000347639703e+01,9.822247919807836070e+00,4.943060859451480127e+01,1.010725816125554957e+02,6.201260436639842055e+02
4.842258824947364104e+01,3.614275097629256805e+01,3.507153313520740312e+01,1.982706846685493645e+02,8.202435300482003413e+02
7.412262736045546774e+01,4.837012401025687325e+01,6.421770659221306232e+01,1.113160990068656560e+02,6.117252322962001472e+02
5.790711636515299965e+00,7.454887002255502182e+01,9.652643302899086564e+01,6.579093129900920189e+01,1.256547075748941111e+01
6.840046471473013412e+01,8.665649288834616470e+01,3.528922305374903345e+01,4.341514403740807637e+01,2.945554134858923021e+02
4.808340246111632865e+01,9.284549083140286996e+01,5.049838690234492589e+01,4.652218780903877615e+01,1.737618214658742488e+02
3.199858625962524883e+01,2.136287009464453845e+01,9.469193766385568267e+01,2.704870077571863263e+01,9.784810547916616486e+01
3.135429660066099089e+01,7.018543696712220026e+01,9.671886936494944109e+01,1.074876573226044769e+02,5.067990902914499429e+01
8.852961424889679165e+01,6.810431478508684222e+01,9.692337629079246142e+01,7.173863477914248676e+01,2.307687165710660082e+01
1.281771998712646266e+01,3.131233055131513865e+01,7.424705108280763000e+01,8.094141870727057153e+01,3.260698955264490451e+02
7.494330154334676308e+01,5.477769438312488859e+01,3.551819817880884500e+01,1.637676143432452420e+02,5.831671031871710511e+02
7.104764989140058162e+01,2.719576655906188378e+01,1.021828292188147103e+01,4.670491585232976917e+01,1.627072982602728928e+02
5.474480741015861440e+01,1.677526308177623804e+01,1.558950015783344689e+00,1.282217263749256375e+01,6.187566931904157741e+01
9.225060559051834730e+01,3.282415690087173488e+01,9.120279930939378232e+01,8.575702283241124491e+00,8.513756496177241218e+01
4.193218060931717162e+01,9.844505491339397452e+01,8.222172016422307195e+01,3.909015699699372703e+01,3.124134943767163364e+01
7.997380509407905436e+01,2.520153187096740854e+00,6.444170988720863136e+01,9.873962121826794558e+00,4.437583943714246288e+02
9.675374810710241036e+01,2.078815157099318611e+01,4.310871495488023442e+01,1.862526324694084678e+01,5.491532056848736829e+02
5.545891646029814837e+01,2.093122781110005093e+01,1.329745062767174701e+01,4.840602738268677996e+01,2.015711288238263137e+02
9.459146891379286615e+01,9.100489557251447081e+01,7.842919627684364059e+01,8.952990432769266249e+01,2.249330026351298883e+01
3.133442937843366849e+01,2.956610091584791533e+01,8.391659622981855193e+01,9.461101259764832605e+01,2.887904157835345131e+02
6.783517023306373517e-01,7.093206772645910263e-03,9.647609920456429222e+01,1.031968934647241820e+00,7.292309719472715557e+00
6.662478357995802014e+01,1.790638825601654816e+01,3.093049893177785137e+01,1.554253374833108410e+02,5.832126362777264603e+02
4.355053562073371864e+01,6.548985614595882510e+01,3.163576754573038841e+01,1.081074087571293774e+02,4.257186150912903599e+02
5.069814084816852784e+01,4.898140378101815173e+01,5.419697904561131452e+01,2.755304983525388707e+02,9.113981853199682064e+02
5.903986414047965781e+01,4.706885916620686316e+01,5.409604005769432433e+01,2.282118262955099226e+02,9.076171729817430105e+02
5.144994652800016866e+01,5.113823307503528781e+01,9.253214330018964517e+01,8.037891280451673026e+01,1.441234481421506644e+02
7.585037491849933033e+00,7.640512941220951859e+01,6.646753706366700953e+01,1.083098679274280443e+02,1.041650202386396842e+02
4.866231885176216565e+01,1.502570774559451827e+01,4.449510997696965120e+01,1.583629768861244713e+02,7.379365451847446593e+02
